geoid,geoid2,geodisplay,naicsid,establishment_type,op_type,tax_type,year,est_count,receipts,op_exp,payroll,q1payroll,employees,receipts_from_admin,receipts_from_estimate
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US104,104,"Albany-Schenectady, NY CSA",611519,Other technical and trade schools,T,Establishments subject to federal income tax,2012,10,11253,N,4039,846,132,31.5,0.1
330M200US104,104,"Albany-Schenectady, NY CSA",611519,Other technical and trade schools,Y,Establishments exempt from federal income tax,2012,6,D,D,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116,Other schools and instruction,A,All establishments,2012,161,D,N,D,D,g,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116,Other schools and instruction,T,Establishments subject to federal income tax,2012,128,D,N,D,D,f,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116,Other schools and instruction,Y,Establishments exempt from federal income tax,2012,33,D,D,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61161,Fine arts schools,A,All establishments,2012,54,D,N,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61161,Fine arts schools,T,Establishments subject to federal income tax,2012,46,10395,N,3603,991,274,54.6,16.3
330M200US104,104,"Albany-Schenectady, NY CSA",61161,Fine arts schools,Y,Establishments exempt from federal income tax,2012,8,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611610,Fine arts schools,A,All establishments,2012,54,D,N,D,D,e,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611610,Fine arts schools,T,Establishments subject to federal income tax,2012,46,10395,N,3603,991,274,54.6,16.3
330M200US104,104,"Albany-Schenectady, NY CSA",611610,Fine arts schools,Y,Establishments exempt from federal income tax,2012,8,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116101,Dance schools (including children's and professionals'),A,All establishments,2012,36,6513,N,1986,566,210,67.4,15.8
330M200US104,104,"Albany-Schenectady, NY CSA",6116101,Dance schools (including children's and professionals'),T,Establishments subject to federal income tax,2012,34,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116101,Dance schools (including children's and professionals'),Y,Establishments exempt from federal income tax,2012,2,D,D,D,D,a,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116102,"Art, drama, and music schools",A,All establishments,2012,18,D,N,D,D,c,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116102,"Art, drama, and music schools",T,Establishments subject to federal income tax,2012,12,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",6116102,"Art, drama, and music schools",Y,Establishments exempt from federal income tax,2012,6,D,D,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61162,Sports and recreation instruction,A,All establishments,2012,62,15836,N,4866,1383,565,46.4,9
330M200US104,104,"Albany-Schenectady, NY CSA",61162,Sports and recreation instruction,T,Establishments subject to federal income tax,2012,50,10290,N,3085,746,284,58.7,10
330M200US104,104,"Albany-Schenectady, NY CSA",61162,Sports and recreation instruction,Y,Establishments exempt from federal income tax,2012,12,5546,5124,1781,637,281,23.6,7
330M200US104,104,"Albany-Schenectady, NY CSA",611620,Sports and recreation instruction,A,All establishments,2012,62,15836,N,4866,1383,565,46.4,9
330M200US104,104,"Albany-Schenectady, NY CSA",611620,Sports and recreation instruction,T,Establishments subject to federal income tax,2012,50,10290,N,3085,746,284,58.7,10
330M200US104,104,"Albany-Schenectady, NY CSA",611620,Sports and recreation instruction,Y,Establishments exempt from federal income tax,2012,12,5546,5124,1781,637,281,23.6,7
330M200US104,104,"Albany-Schenectady, NY CSA",61163,Language schools,A,All establishments,2012,3,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",61163,Language schools,T,Establishments subject to federal income tax,2012,3,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611630,Language schools,A,All establishments,2012,3,D,N,D,D,b,D,D
330M200US104,104,"Albany-Schenectady, NY CSA",611630,Language schools,T,Establishments subject to federal income tax,2012,3,D,N,D,D,b,D,D
