GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Country,Geographic region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,330M200US204,204,"United States - Corpus Christi-Kingsville-Alice, TX CSA","Corpus Christi-Kingsville-Alice, TX CSA",501500,501503,501365,504720,511188,517571,522140,526068
0100000US,,United States,330M200US206,206,"United States - Dallas-Fort Worth, TX-OK CSA","Dallas-Fort Worth, TX-OK CSA",6817483,6817579,6844509,6967257,7103649,7217180,7355868,7504362
0100000US,,United States,330M200US209,209,"United States - Davenport-Moline, IA-IL CSA","Davenport-Moline, IA-IL CSA",471551,471554,472082,473034,474509,475327,474863,474385
0100000US,,United States,330M200US212,212,"United States - Dayton-Springfield-Sidney, OH CSA","Dayton-Springfield-Sidney, OH CSA",1080044,1080028,1080883,1080937,1080690,1079256,1077862,1076832
0100000US,,United States,330M200US216,216,"United States - Denver-Aurora, CO CSA","Denver-Aurora, CO CSA",3090874,3091002,3104620,3160479,3218147,3281160,3346099,3418876
0100000US,,United States,330M200US217,217,"United States - DeRidder-Fort Polk South, LA CSA","DeRidder-Fort Polk South, LA CSA",87988,87988,88588,88385,90454,89133,88437,87265
0100000US,,United States,330M200US218,218,"United States - Des Moines-Ames-West Des Moines, IA CSA","Des Moines-Ames-West Des Moines, IA CSA",722323,722323,724709,734883,744329,757000,770898,782390
0100000US,,United States,330M200US220,220,"United States - Detroit-Warren-Ann Arbor, MI CSA","Detroit-Warren-Ann Arbor, MI CSA",5318744,5319082,5313491,5309126,5313268,5316124,5320168,5319913
0100000US,,United States,330M200US221,221,"United States - Dixon-Sterling, IL CSA","Dixon-Sterling, IL CSA",94529,94529,94426,93757,92898,92471,91970,91663
0100000US,,United States,330M200US222,222,"United States - Dothan-Enterprise-Ozark, AL CSA","Dothan-Enterprise-Ozark, AL CSA",245838,245838,246405,247218,249107,248156,248325,248947
0100000US,,United States,330M200US232,232,"United States - Eau Claire-Menomonie, WI CSA","Eau Claire-Menomonie, WI CSA",205008,205247,205535,206730,207859,209137,209385,210133
0100000US,,United States,330M200US233,233,"United States - Edwards-Glenwood Springs, CO CSA","Edwards-Glenwood Springs, CO CSA",125734,125734,125335,124904,125986,126910,128068,129487
0100000US,,United States,330M200US236,236,"United States - Elmira-Corning, NY CSA","Elmira-Corning, NY CSA",187820,187836,187960,188283,188371,187510,185795,184702
0100000US,,United States,330M200US238,238,"United States - El Paso-Las Cruces, TX-NM CSA","El Paso-Las Cruces, TX-NM CSA",1013356,1013364,1017304,1036408,1049629,1049820,1052815,1053267
0100000US,,United States,330M200US240,240,"United States - Erie-Meadville, PA CSA","Erie-Meadville, PA CSA",369331,369331,369464,369221,368744,367518,365993,364529
0100000US,,United States,330M200US244,244,"United States - Fargo-Wahpeton, ND-MN CSA","Fargo-Wahpeton, ND-MN CSA",231674,231674,232327,235932,240558,246537,251447,256634
0100000US,,United States,330M200US246,246,"United States - Fayetteville-Lumberton-Laurinburg, NC CSA","Fayetteville-Lumberton-Laurinburg, NC CSA",536708,536708,538085,544683,545106,548490,547905,546215
0100000US,,United States,330M200US248,248,"United States - Findlay-Tiffin, OH CSA","Findlay-Tiffin, OH CSA",131527,131527,131310,131488,131634,131467,131014,131183
0100000US,,United States,330M200US258,258,"United States - Fort Wayne-Huntington-Auburn, IN CSA","Fort Wayne-Huntington-Auburn, IN CSA",611712,611707,612389,615386,617174,620153,622891,626124
0100000US,,United States,330M200US260,260,"United States - Fresno-Madera, CA CSA","Fresno-Madera, CA CSA",1081315,1081317,1083587,1093060,1099873,1107342,1119545,1129859
